year,month,47N,46N,45N,44N,43N,42N,41N,40N,39N,38N,37N,36N,35N,34N,33N,32N,31N
1995,9,-0.035,0.099,0.236,0.143,0.308,0.266,0.226,0.503,0.671,0.295,0.255,0.797,0.81,0.466,0.396,0.337,0.302
1995,10,-0.073,0.165,0.207,0.235,0.55,0.712,0.514,0.846,0.925,0.313,0.51,0.627,0.366,0.131,0.137,0.087,0.135
1995,11,-0.539,-0.241,-0.429,-0.42,-0.142,-0.355,-0.159,0.203,0.463,0.071,0.359,0.442,0.352,0.257,0.298,0.27,0.021
1995,12,-0.573,-0.222,-0.639,-0.485,-0.49,-1.123,-0.784,-0.341,-0.119,-0.189,-0.021,0.165,0.213,0.436,0.478,0.254,0.017
1996,1,-0.109,0.148,-0.086,-0.241,-0.101,0.122,-0.321,0.642,0.554,0.223,0.336,0.542,0.517,0.432,0.46,0.338,0.129
1996,2,-0.256,-0.099,-0.509,-0.347,-0.228,-0.5,-0.732,0.056,-0.106,-0.127,-0.105,0.021,0.057,0.263,0.291,0.246,0.133
1996,3,0.031,0.011,-0.028,-0.077,0.354,0.487,0.137,0.823,0.791,0.362,0.49,0.692,0.478,0.518,0.387,0.321,0.214
1996,4,-0.502,-0.076,-0.48,-0.484,-0.31,-0.085,-0.037,0.381,0.581,0.503,0.704,0.768,0.821,0.744,0.446,0.424,0.117
1996,5,0.093,0.141,0.429,0.197,1.041,1.153,1.14,1.417,1.841,0.998,0.95,0.983,0.941,0.501,0.388,0.414,0.427
1996,6,0.19,0.281,0.551,0.419,1.168,0.981,0.958,1.924,2.06,0.758,1.121,0.927,0.932,0.479,0.347,0.321,0.292
1996,7,0.406,0.447,0.623,0.548,0.884,1.053,0.974,1.15,1.149,0.525,0.501,0.453,0.499,0.3,0.195,0.225,0.161
1996,8,0.274,0.368,0.395,0.318,0.545,0.77,0.638,1.052,1.315,0.645,0.829,0.796,0.688,0.401,0.231,0.14,0.256
1996,9,0.108,0.228,0.267,0.257,0.694,0.693,0.543,0.741,0.693,0.281,0.313,0.334,0.427,0.214,0.229,0.262,0.245
1996,10,-0.061,0.103,0.134,0.113,0.454,0.434,0.404,0.54,0.814,0.315,0.539,0.82,0.83,0.582,0.399,0.325,0.384
1996,11,-0.073,0.108,0.097,-0.003,0.222,0.031,-0.004,0.29,0.654,0.345,0.327,0.565,0.692,0.469,0.352,0.352,0.393
1996,12,-0.416,-0.14,-0.591,-0.457,-0.526,-0.803,-0.734,-0.651,-0.353,-0.477,-0.272,-0.084,0.113,0.1,0.139,0.012,0.05
1997,1,-0.398,-0.116,-0.194,-0.281,-0.122,-0.255,-0.405,0.058,0.197,-0.054,0.236,0.361,0.295,0.265,0.299,0.189,0.291
1997,2,-0.052,0.175,0.185,0.071,0.629,0.704,0.394,1.447,1.277,0.692,1.222,1.307,1.161,0.757,0.637,0.415,0.247
1997,3,-0.394,-0.185,-0.285,-0.418,0.292,0.343,0.261,0.757,1.101,0.408,0.526,0.526,0.68,0.288,0.245,0.128,0.067
