#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2012,1,6,21,50,197,2.5,3.2,2.22,16,8.37,248,1014.6,15.1,15.5,13.4,99,99
2012,1,6,22,50,213,2.1,3,2.2,14.81,8.44,242,1014.2,15.2,15.6,13.1,99,99
2012,1,6,23,50,293,2.3,3.8,2.19,16,7.87,272,1014.3,15,15.5,13.2,99,99
2012,1,7,0,50,259,3.3,4.6,2.32,17.39,7.75,275,1014,14.2,15.3,12.9,99,99
2012,1,7,1,50,253,0.3,1,2.52,16,8.33,276,1013.9,14.1,15.2,12.9,99,99
2012,1,7,2,50,101,2.4,3.5,2.29,16,8.07,275,1014,14.4,15.1,12.9,99,99
2012,1,7,3,50,43,1.3,2.5,2.24,14.81,8.16,278,1014.2,14.7,15,12.4,99,99
2012,1,7,4,50,37,2.5,3.3,2.37,16,8.56,277,1014.3,14.8,15,13.4,99,99
2012,1,7,5,50,24,3.3,4.3,2.33,16,8.54,294,1014.6,14.7,15,13.5,99,99
2012,1,7,6,50,8,5.2,6,2.13,16,8.27,291,1014.8,14.5,15,13.4,99,99
2012,1,7,7,50,12,4,5.1,2.18,16,8.42,286,1014.5,14.4,15,13.7,99,99
2012,1,7,8,50,5,4.5,5.3,2.08,16,8.66,285,1014.6,14.4,15,13.4,99,99
2012,1,7,9,50,30,3.2,3.9,2.16,16,8.41,288,1014.8,14.2,15,13.5,99,99
2012,1,7,10,50,54,2.9,4,2.11,16,8.5,281,1014.5,13.9,15,13.5,99,99
2012,1,7,11,50,94,1.9,2.7,2.19,16,8.59,270,1014.5,13.6,14.9,13,99,99
2012,1,7,12,50,114,2.8,4.6,2.16,14.81,8.51,260,1014.4,13.7,14.9,12.8,99,99
2012,1,7,13,50,125,4,5.9,2,16,8.23,258,1014.6,13.7,14.9,12.6,99,99
2012,1,7,14,50,122,2.7,4.6,2.05,13.79,8.5,255,1015.2,13.6,14.9,12.2,99,99
2012,1,7,15,50,110,3.5,5,1.85,16,8.44,254,1015.5,13.1,14.9,11.7,99,99
2012,1,7,16,50,107,1.9,4,1.68,16,8.31,262,1016.6,13.1,15,11.6,99,99
2012,1,7,17,50,122,1.8,3.1,1.51,14.81,8.31,258,1017,13.3,15,11.2,99,99
2012,1,7,18,50,123,1.8,2.7,1.57,14.81,8.66,276,1016.5,13.6,15.1,11.3,99,99
2012,1,7,19,50,127,1.3,2.5,1.55,14.81,8.42,265,1015.6,13.6,15.2,11.1,99,99
2012,1,7,20,50,54,0.5,1.3,1.49,14.81,8.76,270,1015.3,13.6,15.4,10.9,99,99
2012,1,7,21,50,247,0.6,1.6,1.41,14.81,8.3,226,1014.9,14,15.5,11.2,99,99
2012,1,7,22,50,252,0.5,1.2,1.58,14.81,8.97,243,1014.7,14.1,15.6,11,99,99
2012,1,7,23,50,196,1.4,2,1.41,14.81,8.26,258,1014.7,13.6,15.5,11.2,99,99
2012,1,8,0,50,256,1.1,1.7,1.44,13.79,8.08,269,1014.8,13.3,15.3,11.6,99,99
2012,1,8,1,50,230,1,1.6,1.47,14.81,7.97,283,1015.1,13.2,15.2,11.8,99,99
2012,1,8,2,50,158,0.5,1.1,1.49,12.9,8.16,263,1015.5,13.1,15.1,11.7,99,99
2012,1,8,3,50,107,0.3,1.1,1.41,14.81,8.24,289,1015.7,13,15.1,11.7,99,99
2012,1,8,4,50,95,0.8,1.4,1.33,13.79,7.94,283,1016.2,13,15,11.7,99,99
2012,1,8,5,50,148,0.2,0.8,1.29,14.81,8.49,280,1016.8,13.1,15,12,99,99
