"Year","Observer","Plot","LayingSequence","Length","Width","Size"
2012,"KMR","DO","Egg1",51.4,35,1799
2012,"KMR","DO","Egg1",52.3,33.8,1767.74
2012,"KMR","DO","Egg1",53.2,38.4,2042.88
2012,"KMR","CC","Egg1",54,32.2,1738.8
2012,"KMR","CC","Egg1",51.1,31.3,1599.43
2012,"KMR","CC","Egg1",54.8,35.8,1961.84
2012,"KMR","CC","Egg1",54.9,35.1,1926.99
2012,"KMR","CC","Egg1",53.2,35.1,1867.32
2012,"KMR","CC","Egg1",54.6,34.1,1861.86
2012,"KMR","CC","Egg1",55,36.8,2024
2012,"KMR","CC","Egg1",56.8,36.8,2090.24
2012,"REW","LC","Egg1",55.4,35.5,1966.7
2012,"REW","LC","Egg1",54.6,34,1856.4
2012,"REW","LC","Egg1",55.95,35.7,1997.415
2012,"REW","LC","Egg1",55.1,35.2,1939.52
2012,"REW","LC","Egg1",50.8,31.3,1590.04
2012,"KMR","CC","Egg1",55.5,35,1942.5
2012,"KMR","CC","Egg1",53.1,36.4,1932.84
2012,"KMR","DO","Egg1",52.8,36.8,1943.04
2012,"KMR","DO","Egg1",52.2,36.4,1900.08
2012,"KMR","DO","Egg1",49.4,30,1482
2012,"SLA","BH","Egg1",50.4,33.8,1703.52
2012,"SLA","LC","Egg1",51.9,34.3,1780.17
2012,"SLA","LC","Egg1",54.9,35,1921.5
2012,"SLA","LC","Egg1",56.8,35.1,1993.68
2012,"SLA","CC","Egg1",51.9,34.9,1811.31
2012,"SLA","CC","Egg1",53.1,35.9,1906.29
2012,"SLA","CC","Egg1",54.1,35,1893.5
2012,"SLA","CC","Egg1",54.1,35,1893.5
2012,"CAC","DO","Egg1",55.45,36.8,2040.56
2012,"CAC","LC","Egg1",55.9,36.6,2045.94
2012,"CAC","LC","Egg1",52,34,1768
2012,"CAC","LC","Egg1",50.3,33.55,1687.565
2012,"SKT","LC","Egg1",50.2,35.8,1797.16
2012,"SKT","LC","Egg1",59.9,33.4,2000.66
2012,"SKT","APNC","Egg1",53.45,35.44,1894.268
2012,"SKT","DO","Egg1",50.5,35,1767.5
2012,"SKT","LC","Egg1",52.7,33.9,1786.53
2012,"SKT","CC","Egg1",49.8,34.5,1718.1
2012,"CAC","LC","Egg1",51.9,33.3,1728.27
2012,"SKT","CC","Egg1",52.9,36.6,1936.14
2012,"SKT","DO","Egg1",51.7,35.2,1819.84
2012,"SKT","DO","Egg1",52.2,34.9,1821.78
2012,"SKT","LC","Egg1",52.7,35,1844.5
2012,"SKT","LC","Egg1",53.4,35.9,1917.06
2012,"SKT","LC","Egg1",52.2,34.5,1800.9
2012,"SKT","CC","Egg1",51.5,36.7,1890.05
2012,"SKT","CC","Egg1",51.8,35.3,1828.54
